sample_id,PS,CV,Thi,PE,R6G
S001,1,0,0,0,0
S002,1,0,0,0,0
S003,1,0,0,0,0
S004,1,0,0,0,0
S005,1,0,0,0,0
S006,1,0,0,0,0
S007,1,0,0,0,0
S008,1,0,0,0,0
S009,1,0,0,0,0
S010,1,0,0,0,0
S011,1,1,0,0,0
S012,1,1,0,0,0
S013,1,1,0,0,0
S014,1,1,0,0,0
S015,1,1,0,0,0
S016,1,1,0,0,0
S017,1,1,0,0,0
S018,1,1,0,0,0
S019,1,1,0,0,0
S020,1,1,0,0,0
S021,1,0,0,1,0
S022,1,0,0,1,0
S023,1,0,0,1,0
S024,1,0,0,1,0
S025,1,0,0,1,0
S026,1,0,0,1,0
S027,1,0,0,1,0
S028,1,0,0,1,0
S029,1,0,0,1,0
S030,1,0,0,1,0
S031,1,0,1,0,0
S032,1,0,1,0,0
S033,1,0,1,0,0
S034,1,0,1,0,0
S035,1,0,1,0,0
S036,1,0,1,0,0
S037,1,0,1,0,0
S038,1,0,1,0,0
S039,1,0,1,0,0
S040,1,0,1,0,0
S041,1,1,0,0,1
S042,1,1,0,0,1
S043,1,1,0,0,1
S044,1,1,0,0,1
S045,1,1,0,0,1
S046,1,1,0,0,1
S047,1,1,0,0,1
S048,1,1,0,0,1
S049,1,1,0,0,1
S050,1,1,0,0,1
S051,1,1,1,0,0
S052,1,1,1,0,0
S053,1,1,1,0,0
S054,1,1,1,0,0
S055,1,1,1,0,0
S056,1,1,1,0,0
S057,1,1,1,0,0
S058,1,1,1,0,0
S059,1,1,1,0,0
S060,1,1,1,0,0
