sample_id,source_split,condition,matrix,concentration_mg_ml,group_id,source_file
S001,groupwise_test,PS,reservoir_water,0.1,133,data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS']/133_BCSM.txt
S002,groupwise_test,PS,reservoir_water,0.1,134,data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS']/134_BCSM.txt
S003,groupwise_test,PS,reservoir_water,0.1,135,data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS']/135_BCSM.txt
S004,groupwise_test,PS,reservoir_water,0.1,136,data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS']/136_BCSM.txt
S005,groupwise_test,PS,reservoir_water,0.1,137,data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS']/137_BCSM.txt
S006,groupwise_test,PS,reservoir_water,0.1,138,data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS']/138_BCSM.txt
S007,groupwise_test,PS,reservoir_water,0.1,139,data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS']/139_BCSM.txt
S008,groupwise_test,PS,reservoir_water,0.1,140,data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS']/140_BCSM.txt
S009,groupwise_test,PS,reservoir_water,0.1,141,data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS']/141_BCSM.txt
S010,groupwise_test,PS,reservoir_water,0.1,142,data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS']/142_BCSM.txt
S011,groupwise_test,PS+CV,reservoir_water,0.1,133,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','CV']/133_BCSM.txt"
S012,groupwise_test,PS+CV,reservoir_water,0.1,134,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','CV']/134_BCSM.txt"
S013,groupwise_test,PS+CV,reservoir_water,0.1,135,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','CV']/135_BCSM.txt"
S014,groupwise_test,PS+CV,reservoir_water,0.1,136,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','CV']/136_BCSM.txt"
S015,groupwise_test,PS+CV,reservoir_water,0.1,137,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','CV']/137_BCSM.txt"
S016,groupwise_test,PS+CV,reservoir_water,0.1,138,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','CV']/138_BCSM.txt"
S017,groupwise_test,PS+CV,reservoir_water,0.1,139,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','CV']/139_BCSM.txt"
S018,groupwise_test,PS+CV,reservoir_water,0.1,140,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','CV']/140_BCSM.txt"
S019,groupwise_test,PS+CV,reservoir_water,0.1,141,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','CV']/141_BCSM.txt"
S020,groupwise_test,PS+CV,reservoir_water,0.1,142,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','CV']/142_BCSM.txt"
S021,groupwise_test,PS+PE,reservoir_water,0.1,133,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','PE']/133_BCSM.txt"
S022,groupwise_test,PS+PE,reservoir_water,0.1,134,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','PE']/134_BCSM.txt"
S023,groupwise_test,PS+PE,reservoir_water,0.1,135,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','PE']/135_BCSM.txt"
S024,groupwise_test,PS+PE,reservoir_water,0.1,136,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','PE']/136_BCSM.txt"
S025,groupwise_test,PS+PE,reservoir_water,0.1,137,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','PE']/137_BCSM.txt"
S026,groupwise_test,PS+PE,reservoir_water,0.1,138,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','PE']/138_BCSM.txt"
S027,groupwise_test,PS+PE,reservoir_water,0.1,139,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','PE']/139_BCSM.txt"
S028,groupwise_test,PS+PE,reservoir_water,0.1,140,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','PE']/140_BCSM.txt"
S029,groupwise_test,PS+PE,reservoir_water,0.1,141,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','PE']/141_BCSM.txt"
S030,groupwise_test,PS+PE,reservoir_water,0.1,142,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','PE']/142_BCSM.txt"
S031,groupwise_test,PS+Thi,reservoir_water,0.1,133,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','TR']/133_BCSM.txt"
S032,groupwise_test,PS+Thi,reservoir_water,0.1,134,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','TR']/134_BCSM.txt"
S033,groupwise_test,PS+Thi,reservoir_water,0.1,135,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','TR']/135_BCSM.txt"
S034,groupwise_test,PS+Thi,reservoir_water,0.1,136,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','TR']/136_BCSM.txt"
S035,groupwise_test,PS+Thi,reservoir_water,0.1,137,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','TR']/137_BCSM.txt"
S036,groupwise_test,PS+Thi,reservoir_water,0.1,138,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','TR']/138_BCSM.txt"
S037,groupwise_test,PS+Thi,reservoir_water,0.1,139,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','TR']/139_BCSM.txt"
S038,groupwise_test,PS+Thi,reservoir_water,0.1,140,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','TR']/140_BCSM.txt"
S039,groupwise_test,PS+Thi,reservoir_water,0.1,141,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','TR']/141_BCSM.txt"
S040,groupwise_test,PS+Thi,reservoir_water,0.1,142,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','TR']/142_BCSM.txt"
S041,groupwise_test,PS+CV+R6G,reservoir_water,0.1,133,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','CV','R6G']/133_BCSM.txt"
S042,groupwise_test,PS+CV+R6G,reservoir_water,0.1,134,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','CV','R6G']/134_BCSM.txt"
S043,groupwise_test,PS+CV+R6G,reservoir_water,0.1,135,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','CV','R6G']/135_BCSM.txt"
S044,groupwise_test,PS+CV+R6G,reservoir_water,0.1,136,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','CV','R6G']/136_BCSM.txt"
S045,groupwise_test,PS+CV+R6G,reservoir_water,0.1,137,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','CV','R6G']/137_BCSM.txt"
S046,groupwise_test,PS+CV+R6G,reservoir_water,0.1,138,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','CV','R6G']/138_BCSM.txt"
S047,groupwise_test,PS+CV+R6G,reservoir_water,0.1,139,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','CV','R6G']/139_BCSM.txt"
S048,groupwise_test,PS+CV+R6G,reservoir_water,0.1,140,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','CV','R6G']/140_BCSM.txt"
S049,groupwise_test,PS+CV+R6G,reservoir_water,0.1,141,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','CV','R6G']/141_BCSM.txt"
S050,groupwise_test,PS+CV+R6G,reservoir_water,0.1,142,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','CV','R6G']/142_BCSM.txt"
S051,groupwise_test,PS+Thi+CV,reservoir_water,0.1,133,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','TR','CV']/133_BCSM.txt"
S052,groupwise_test,PS+Thi+CV,reservoir_water,0.1,134,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','TR','CV']/134_BCSM.txt"
S053,groupwise_test,PS+Thi+CV,reservoir_water,0.1,135,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','TR','CV']/135_BCSM.txt"
S054,groupwise_test,PS+Thi+CV,reservoir_water,0.1,136,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','TR','CV']/136_BCSM.txt"
S055,groupwise_test,PS+Thi+CV,reservoir_water,0.1,137,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','TR','CV']/137_BCSM.txt"
S056,groupwise_test,PS+Thi+CV,reservoir_water,0.1,138,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','TR','CV']/138_BCSM.txt"
S057,groupwise_test,PS+Thi+CV,reservoir_water,0.1,139,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','TR','CV']/139_BCSM.txt"
S058,groupwise_test,PS+Thi+CV,reservoir_water,0.1,140,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','TR','CV']/140_BCSM.txt"
S059,groupwise_test,PS+Thi+CV,reservoir_water,0.1,141,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','TR','CV']/141_BCSM.txt"
S060,groupwise_test,PS+Thi+CV,reservoir_water,0.1,142,"data_BCSM/data_RV_BCSM_groupwise_revision_66split/test/['PS','TR','CV']/142_BCSM.txt"
